Task ID,Sprint,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,비고
,,,,,,,,,,
,,기술 스택 정의,,,,,,,,
-,-,기술 스택,프론트엔드,"Next.js(최신) / React(최신) / TypeScript / App Router",,,,참고 문서,100,확정,"Tailwind X · Redux X"
-,-,기술 스택,프론트 스타일링,"Vanilla CSS Module (.module.css) / 다크모드 X",,,,참고 문서,100,확정,
-,-,기술 스택,프론트 라이브러리,"Zustand(전역상태) / Google Material Icons",,,,참고 문서,100,확정,
-,-,기술 스택,백엔드,"Java 21 / Spring Boot / Gradle / 모놀리식 / BFF 패턴 / Validation 인증",,,,참고 문서,100,확정,"BFF 방식 적용 · Validation 인증 라이브러리 사용"
-,-,기술 스택,백엔드 라이브러리,"H2(DB) / Lombok / JPA·Hibernate ORM / JWT 토큰 인증",,,,참고 문서,100,확정,
-,-,기술 스택,DB·포트,"프론트 3000(dev) 30xx(배포) / 백엔드 8080 / DB 5432",,,,참고 문서,100,확정,"서버 내부 포트 사용"
-,-,기술 스택,배포,"GitHub Actions (yml CI/CD) / application.properties dev·prod 분리",,,,참고 문서,100,확정,
-,-,기술 스택,이미지 저장소,"업로드 이미지: 외부 볼륨 dist/upload / 정적 이미지: frontend/public",,,,참고 문서,100,확정,
-,-,기술 스택,API 접근 규칙,"프론트→백 호출 시 경로에 /api 미포함 (프록시 rewrite)",,,,참고 문서,100,확정,"ex) localhost:8080/menus"
-,-,기술 스택,접근 권한,"MVP 단계에서는 백엔드 접근권한 설정 X — 누구나 접근 가능",,,,참고 문서,100,확정,
-,-,기술 스택,CORS,"프론트(3000) → 백엔드(8080) 호출 허용",,,,참고 문서,100,확정,
,,,,,,,,,,
,,MVP 기능 범위 (최소),,,,,,,,
-,-,MVP 범위,인증,"회원가입 · 로그인 · JWT 인증 (역할: Admin/Host/User)",,,,참고 문서,-,MVP,
-,-,MVP 범위,이벤트,"이벤트 CRUD (Host 본인 것만) · 조회 (All) — 간소화 폼",,,,참고 문서,-,MVP,"세션·5Step 에디터는 확장으로"
-,-,MVP 범위,티켓·결제,"티켓 예매 + 더미 결제 (버튼→즉시 PAID) · 구매 완료 페이지",,,,참고 문서,-,MVP,"실 결제는 확장으로"
-,-,MVP 범위,커뮤니티,"커뮤니티 글 CRUD (본인 글만 수정/삭제) · 조회 (All)",,,,참고 문서,-,MVP,
-,-,MVP 범위,마이페이지,"활동 내역 관리 · 구매/예약 내역 확인",,,,참고 문서,-,MVP,
-,-,MVP 범위,기업/기관 페이지,"기업 프로필 · 주최 이벤트 목록 · 연락처 UI",,,,참고 문서,-,MVP,
-,-,MVP 범위,이미지 업로드,"파일 업로드 API (외부 볼륨 dist/upload)",,,,참고 문서,-,MVP,
-,-,MVP 범위,Admin 회원관리,"전체 회원 리스트 조회 (Admin)",,,,참고 문서,-,MVP,
,,,,,,,,,,
,,확장 기능 범위 (MVP 이후),,,,,,,,
-,-,확장 범위,이벤트 에디터 고도화,"5 Step 에디터 폼 + 세션/프로그램 관리",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,결제 1단계,"포트원 실제 결제 시스템 연동 (PG사 등록 · 승인 · 환불)",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,결제 2단계,"이벤트 중계 수수료 시스템 (정책 · 정산)",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,대기열,"취소 감지 / 대기자 알림 + 타이머 UI",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,뱃지 시스템,"이벤트 완료 시 뱃지 발급 · 뱃지 검색",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,구독·찜,"강사 구독 / 강의 찜 기능",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,스터디 매칭,"수강 완료 후 스터디 자동 매칭",,,,참고 문서,-,Sprint 2,
,,,,,,,,,,
,,애자일 세레모니 규칙,,,,,,,,
-,-,세레모니,데일리 스탠드업,"매일 시작 15분 — 어제 한 일 / 오늘 할 일 / 블로커 공유",,,,회의록,-,매일 반복,"모든 스프린트 공통"
-,-,세레모니,데일리 랩업,"매일 종료 15분 — 오늘 완료 확인 / 내일 계획 / 이슈 정리",,,,회의록,-,매일 반복,"모든 스프린트 공통"
-,-,세레모니,스프린트 플래닝,"스프린트 첫째 날 — 백로그 선정 · 목표 설정 · 태스크 분배",,,,플래닝 기록,-,스프린트 시작 시,"각 스프린트 Day 1"
-,-,세레모니,스프린트 리뷰,"스프린트 마지막 날 — 완성 기능 데모 · 피드백 수집",,,,리뷰 기록,-,스프린트 종료 시,"각 스프린트 마지막 날"
-,-,세레모니,스프린트 회고,"스프린트 마지막 날 — 잘한 점 / 개선할 점 / 액션 아이템",,,,회고 기록,-,스프린트 종료 시,"리뷰 직후 진행"
,,,,,,,,,,
