Task,시작일,목표 종료일,Status,3월,,,4월,,,,,,,,,,,,,
,,,,27일,30일,31일,1일,2일,3일,6일,7일,8일,9일,10일,13일,14일,15일,16일,17일,20일
Sprint 0,2026-03-27,2026-04-03,진행 전,■,■,■,■,■,■,,,,,,,,,,,
  플래닝,2026-03-27,2026-03-27,진행 전,■,,,,,,,,,,,,,,,,
    스프린트 플래닝,2026-03-27,2026-03-27,진행 전,■,,,,,,,,,,,,,,,,
  설계,2026-03-27,2026-03-30,진행 전,■,■,,,,,,,,,,,,,,,
    기획/요구사항,2026-03-27,2026-03-27,진행 전,■,,,,,,,,,,,,,,,,
    화면설계,2026-03-27,2026-03-27,진행 전,■,,,,,,,,,,,,,,,,
    ERD,2026-03-30,2026-03-30,진행 전,,■,,,,,,,,,,,,,,,
    API 설계,2026-03-30,2026-03-30,진행 전,,■,,,,,,,,,,,,,,,
  인프라,2026-03-31,2026-03-31,진행 전,,,■,,,,,,,,,,,,,,
    백엔드 초기화,2026-03-31,2026-03-31,진행 전,,,■,,,,,,,,,,,,,,
    프론트 초기화,2026-03-31,2026-03-31,진행 전,,,■,,,,,,,,,,,,,,
  공통,2026-04-01,2026-04-01,진행 전,,,,■,,,,,,,,,,,,,
    JPA Entity + 이니셜라이저,2026-04-01,2026-04-01,진행 전,,,,■,,,,,,,,,,,,,
    레이아웃 (FE),2026-04-01,2026-04-01,진행 전,,,,■,,,,,,,,,,,,,
  인증/사용자 관리,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    회원등록,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    로그인,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    토큰,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    로그아웃,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    호스트,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
  리뷰/회고,2026-04-03,2026-04-03,진행 전,,,,,,■,,,,,,,,,,,
    스프린트 리뷰 & 회고,2026-04-03,2026-04-03,진행 전,,,,,,■,,,,,,,,,,,
Sprint 1,2026-04-06,2026-04-09,진행 전,,,,,,,■,■,■,■,,,,,,,
  플래닝,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
    스프린트 플래닝,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
  이벤트 관리,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
    목록,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
    상세,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
  메인 홈,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
    목록,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
  이벤트 생성/수정,2026-04-07,2026-04-07,진행 전,,,,,,,,■,,,,,,,,,
    Step 1,2026-04-07,2026-04-07,진행 전,,,,,,,,■,,,,,,,,,
