Task,시작일,목표 종료일,Status,3월,,,4월,,,,,,,,,,,,,
,,,,27일,30일,31일,1일,2일,3일,6일,7일,8일,9일,10일,13일,14일,15일,16일,17일,20일
설계/기획,2026-03-27,2026-03-30,진행 전,■,■,,,,,,,,,,,,,,,
인프라 구축,2026-03-31,2026-03-31,진행 전,,,■,,,,,,,,,,,,,,
공통 (Entity/레이아웃),2026-04-01,2026-04-01,진행 전,,,,■,,,,,,,,,,,,,
인증/회원가입 관리,2026-04-02,2026-04-10,진행 전,,,,,■,■,■,■,■,■,■,,,,,,
이벤트 관리,2026-04-06,2026-04-14,진행 전,,,,,,,■,■,■,■,■,■,■,,,,
메인 홈,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
커뮤니티 관리,2026-04-08,2026-04-15,진행 전,,,,,,,,,■,■,■,■,■,■,,,
결제/장바구니 관리,2026-04-08,2026-04-16,진행 전,,,,,,,,,■,■,■,■,■,■,■,,
마이페이지 관리,2026-04-08,2026-04-17,진행 전,,,,,,,,,■,■,■,■,■,■,■,■,
호스트 관리,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
어드민 관리,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
리뷰 시스템,2026-04-16,2026-04-16,진행 전,,,,,,,,,,,,,,,■,,
알림 시스템,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
시연 준비 & 발표,2026-04-20,2026-04-20,진행 전,,,,,,,,,,,,,,,,,■
[선택/향후 과제 목록] (Could/Won't Have),-,-,-,,,,,,,,,,,,,,,,,
이벤트 부가기능 (목록 정렬 / 관련강의 추천 / 소셜공유 등),-,-,대기,,,,,,,,,,,,,,,,,
커뮤니티 부가기능 (인기글 / 게시물 검색 / 어드민 컨펌오픈 등),-,-,대기,,,,,,,,,,,,,,,,,
리뷰/결제 부가기능 (좋아요 및 사진 첨부 / 결제확인 메일 등),-,-,대기,,,,,,,,,,,,,,,,,
호스트/어드민 고도화 (매출·접속 통계 차트 / 요청 처리 게시판),-,-,대기,,,,,,,,,,,,,,,,,
신규 시스템 - 신고 이력 및 제재 상태 데이터 모델,-,-,대기,,,,,,,,,,,,,,,,,
신규 시스템 - 뱃지 획득 및 기반 매칭,-,-,대기,,,,,,,,,,,,,,,,,
신규 시스템 - 사용자 활동 내역 및 공개 프로필,-,-,대기,,,,,,,,,,,,,,,,,
신규 시스템 - 플랫폼 통합 공지/QnA 게시판,-,-,대기,,,,,,,,,,,,,,,,,
