Summary,Issue Type,Epic Name,Priority,Start date,Due date,Labels,Description
설계/기획,Epic,설계/기획,,,,,MVP 요구사항 화면설계 ERD API 설계
"MVP 요구사항 명세서 확정",Task,설계/기획,Highest,2026-03-27,2026-03-27,MVP Design Full,최소 기능 범위 정의
"MVP 화면 설계서 / UI 레퍼런스 확정",Task,설계/기획,Highest,2026-03-27,2026-03-27,MVP Design FE,화면 설계서 및 UI 레퍼런스
"DB ERD 설계 및 검증",Task,설계/기획,Highest,2026-03-30,2026-03-30,MVP Design BE,DB ERD 설계 및 검증
"MVP API 엔드포인트 스펙 정의",Task,설계/기획,Highest,2026-03-30,2026-03-30,MVP Design Full,API 명세 정의
인프라 구축,Epic,인프라 구축,,,,,Spring Boot + Next.js 프로젝트 초기화
"Spring Boot 프로젝트 생성",Task,인프라 구축,Highest,2026-03-31,2026-03-31,MVP Infra BE,백엔드 프로젝트 구조 세팅
"Next.js 프로젝트 생성",Task,인프라 구축,Highest,2026-03-31,2026-03-31,MVP Infra FE,프론트엔드 프로젝트 구조 세팅
공통 (Entity/레이아웃),Epic,공통 (Entity/레이아웃),,,,,JPA Entity + FE 공통 레이아웃
"MVP Entity 매핑 + 초기 데이터 삽입",Task,공통 (Entity/레이아웃),Highest,2026-04-01,2026-04-01,MVP Infra BE,JPA Entity 매핑 및 초기 데이터
"공통 레이아웃 / 글로벌 속성 설정",Task,공통 (Entity/레이아웃),Highest,2026-04-01,2026-04-01,MVP Infra FE,FE 글로벌 레이아웃 및 속성
인증/회원가입 관리,Epic,인증/회원가입 관리,,,,,이메일 회원가입/로그인 JWT 호스트가입 OAuth2
"A-001: 이메일/비밀번호 회원가입",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature Full,"이메일, 비밀번호, 닉네임 입력"
"A-002: 이메일 중복 확인 API",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature BE,실시간 중복 체크
"A-003: 이메일 인증 코드 발송/검증",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature BE,인증 코드 발송 + 검증
"A-004: 약관 동의 UI",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature FE,"이용약관, 개인정보 처리방침 동의"
"A-005: 이메일/비밀번호 로그인",Task,인증/회원가입 관리,Highest,2026-04-02,2026-04-02,MVP Feature Full,JWT Access+Refresh 발급
