Task ID,Phase,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,비고
,,,,,,,,,,
,,Phase 0: 기술 스택 정의,,,,,,,,
-,Phase 0,기술 스택,프론트엔드,"Next.js(최신) / React(최신) / TypeScript / App Router",,,,참고 문서,100,확정,"Tailwind X · Redux X"
-,Phase 0,기술 스택,프론트 스타일링,"Vanilla CSS Module (.module.css) / 다크모드 X",,,,참고 문서,100,확정,
-,Phase 0,기술 스택,프론트 라이브러리,"Zustand(전역상태) / Google Material Icons",,,,참고 문서,100,확정,
-,Phase 0,기술 스택,백엔드,"Java 21 / Spring Boot / Gradle / 모놀리식 / BFF 패턴 / Validation 인증",,,,참고 문서,100,확정,"BFF 방식 적용 · Validation 인증 라이브러리 사용"
-,Phase 0,기술 스택,백엔드 라이브러리,"H2(DB) / Lombok / JPA·Hibernate ORM / JWT 토큰 인증",,,,참고 문서,100,확정,
-,Phase 0,기술 스택,DB·포트,"프론트 3000(dev) 30xx(배포) / 백엔드 8080 / DB 5432",,,,참고 문서,100,확정,"서버 내부 포트 사용"
-,Phase 0,기술 스택,배포,"GitHub Actions (yml CI/CD) / application.properties dev·prod 분리",,,,참고 문서,100,확정,
-,Phase 0,기술 스택,이미지 저장소,"업로드 이미지: 외부 볼륨 dist/upload / 정적 이미지: frontend/public",,,,참고 문서,100,확정,
-,Phase 0,기술 스택,API 접근 규칙,"프론트→백 호출 시 경로에 /api 미포함 (프록시 rewrite)",,,,참고 문서,100,확정,"ex) localhost:8080/menus"
-,Phase 0,기술 스택,접근 권한,"MVP 단계에서는 백엔드 접근권한 설정 X — 누구나 접근 가능",,,,참고 문서,100,확정,
-,Phase 0,기술 스택,CORS,"프론트(3000) → 백엔드(8080) 호출 허용",,,,참고 문서,100,확정,
,,,,,,,,,,
,,Phase 1: 설계 & 인프라 (3/27 목 ~ 3/30 일),,,,,,,,
1,Phase 1,설계,기획/요구사항,요구사항 명세서 확정 (MVP 기능 범위 최종),,2026-03-27,2026-03-27,명세서,0,진행 전,
2,Phase 1,설계,화면설계,화면 설계서 / UI 레퍼런스 확정,,2026-03-27,2026-03-27,화면설계서,0,진행 전,
3,Phase 1,설계,ERD,DB ERD 설계 및 검증 (Entity 관계도),,2026-03-27,2026-03-28,ERD 문서,0,진행 전,"ERD 구조 검증 포함"
4,Phase 1,설계,API 설계,API 엔드포인트 스펙 정의 (경로에 /api 미포함),,2026-03-28,2026-03-28,API 명세서,0,진행 전,"프론트에서 /menus 형태로 호출"
5,Phase 1,인프라,백엔드 초기화,"Spring Boot 프로젝트 생성 (Java 21 / Gradle / H2 / JPA / Lombok / JWT)",,2026-03-29,2026-03-29,프로젝트 구조,0,진행 전,"모놀리식 구조"
6,Phase 1,인프라,프론트 초기화,"Next.js 프로젝트 생성 (App Router / TypeScript / Vanilla CSS Module)",,2026-03-29,2026-03-29,프로젝트 구조,0,진행 전,"Zustand · Material Icons 설치"
7,Phase 1,인프라,CORS 설정,Spring Boot CORS 설정 — localhost:3000 허용,,2026-03-29,2026-03-29,설정 파일,0,진행 전,
8,Phase 1,인프라,설정 파일 분리,"application.properties / yml → dev용·배포용 분리",,2026-03-29,2026-03-29,설정 파일,0,진행 전,"application-dev.properties / application-prod.properties"
9,Phase 1,인프라,데이터 이니셜라이저,"DataInitializer 생성 — 초기 테이블 데이터 자동 삽입",,2026-03-30,2026-03-30,초기 데이터 파일,0,진행 전,"CommandLineRunner 또는 @PostConstruct 방식"
10,Phase 1,인프라,GitHub Actions 배포,"CI/CD 워크플로우 yml 작성 (빌드→테스트→배포)",,2026-03-30,2026-03-30,deploy.yml,0,진행 전,"프론트 30xx · 백 8080"
,,,,,,,,,,
,,Phase 2: 공통 세팅 & 인증 기능 (3/31 월 ~ 4/2 수),,,,,,,,
11,Phase 2,공통,JPA Entity 정의,"전체 Entity 클래스 + 연관관계 매핑 (JPA/Hibernate)",,2026-03-31,2026-03-31,Entity 클래스,0,진행 전,"H2 콘솔로 테이블 검증"
12,Phase 2,공통,공통 레이아웃 (FE),"App Router layout.tsx / Header / Footer / 글로벌 CSS 변수",,2026-03-31,2026-03-31,UI 베이스,0,진행 전,"Google Material Icons 적용"
13,Phase 2,공통,Zustand 스토어 (FE),"전역 상태 관리 세팅 (인증 상태 · 사용자 정보 등)",,2026-03-31,2026-03-31,스토어 파일,0,진행 전,
14,Phase 2,공통,API 프록시 설정 (FE),"next.config.js rewrites → /api 제거하여 백엔드 호출",,2026-03-31,2026-03-31,설정 파일,0,진행 전,"ex) /menus → localhost:8080/menus"
15,Phase 2,공통,이미지 업로드 API (BE),"파일 업로드 API — 저장 경로: 외부 볼륨 dist/upload",,2026-04-01,2026-04-01,Upload API,0,진행 전,"정적 이미지는 frontend/public"
16,Phase 2,인증 기능,User API (BE),"회원가입 / 로그인 / 프로필 조회·수정 API (JWT 토큰 발급)",,2026-04-01,2026-04-01,User API,0,진행 전,"접근권한 설정 X"
17,Phase 2,인증 기능,로그인/가입 페이지 (FE),"로그인 · 회원가입 UI + API 연동 (JWT 저장)",,2026-04-02,2026-04-02,UI 화면,0,진행 전,
18,Phase 2,인증 기능,인증 연동 검증,"회원가입→로그인→JWT 발급→인증 상태 유지 E2E 확인",,2026-04-02,2026-04-02,테스트 결과,0,진행 전,"Back+Front 연동 검증"
,,,,,,,,,,
,,Phase 3: 이벤트 기능 (4/3 목 ~ 4/7 월),,,,,,,,
19,Phase 3,이벤트,Event API (BE),"이벤트 CRUD + 세션 CRUD + 티켓 CRUD API",,2026-04-03,2026-04-03,Event API,0,진행 전,
20,Phase 3,이벤트,메인 홈 페이지 (FE),"이벤트 목록 / 검색 / 필터 / 카드 UI + API 연동",,2026-04-03,2026-04-04,UI 화면,0,진행 전,
21,Phase 3,이벤트,이벤트 상세 페이지 (FE),"이벤트 정보 + 세션 목록 + 티켓 구매 UI + API 연동",,2026-04-04,2026-04-04,UI 화면,0,진행 전,
22,Phase 3,이벤트,이벤트 생성 폼 (FE),"에디터(폼) 기반 Step-by-Step (5 Step) 이벤트 등록 UI + API 연동",,2026-04-04,2026-04-05,UI 화면,0,진행 전,
23,Phase 3,이벤트·결제,Order API (BE),"주문 생성 / 구매내역 / 주문 취소 API",,2026-04-05,2026-04-06,Order API,0,진행 전,"유료: 결제 연동 / 무료: 즉시 등록"
24,Phase 3,이벤트·결제,결제 UI 연동 (FE),"포트원 결제 UI 연동 + 주문 완료 흐름",,2026-04-06,2026-04-07,결제 UI,0,진행 전,
25,Phase 3,이벤트,이벤트 기능 연동 검증,"이벤트 생성→목록노출→상세→티켓구매→결제 E2E 확인",,2026-04-07,2026-04-07,테스트 결과,0,진행 전,"Back+Front 연동 검증"
,,,,,,,,,,
,,Phase 4: 커뮤니티 & 마이페이지 & 기업 기능 (4/8 화 ~ 4/11 금),,,,,,,,
26,Phase 4,커뮤니티,Community API (BE),"커뮤니티 CRUD / 가입·탈퇴 / 멤버 관리 API",,2026-04-08,2026-04-08,Community API,0,진행 전,
27,Phase 4,커뮤니티,Post·Comment API (BE),"게시글 CRUD + 댓글 CRUD API",,2026-04-08,2026-04-08,Post API,0,진행 전,
28,Phase 4,커뮤니티,커뮤니티/게시판 UI (FE),"커뮤니티 목록 · 게시글 목록 · 글작성 · 댓글 UI + API 연동",,2026-04-08,2026-04-09,UI 화면,0,진행 전,
29,Phase 4,마이페이지,마이페이지 UI (FE),"내 이벤트 관리 · 구매내역 · 참여 이력 UI + API 연동",,2026-04-09,2026-04-10,UI 화면,0,진행 전,
30,Phase 4,기업 페이지,기업/기관 페이지 UI (FE),"기업 프로필 + 주최 이벤트 목록 + 연락처 UI + API 연동",,2026-04-10,2026-04-10,UI 화면,0,진행 전,
31,Phase 4,통합,기능 연동 검증,"커뮤니티 CRUD · 마이페이지 데이터 · 기업페이지 E2E 확인",,2026-04-11,2026-04-11,테스트 결과,0,진행 전,"Back+Front 연동 검증"
,,,,,,,,,,
,,Phase 5: MVP 통합 테스트 & 배포 (4/12 토 ~ 4/13 일),,,,,,,,
32,Phase 5,MVP 통합,E2E 전체 시나리오,"전체 MVP 시나리오 통합 테스트 (회원→이벤트→결제→커뮤니티→마이페이지)",,2026-04-12,2026-04-12,테스트 리포트,0,진행 전,
33,Phase 5,MVP 통합,버그 픽스,"발견 오류 수정 · 데이터 이니셜라이저 최종 검증",,2026-04-12,2026-04-13,수정 내역,0,진행 전,
34,Phase 5,MVP 통합,배포 검증,"GitHub Actions 배포 파이프라인 테스트 (프론트 30xx · 백 8080)",,2026-04-13,2026-04-13,배포 환경,0,진행 전,
,,,,,,,,,,
,,Phase 6: 확장 기능 개발 (4/14 월 ~ 4/16 수),,,,,,,,
35,Phase 6,확장 기능,대기열 (BE+FE),"취소 감지 / 다음 대기자 알림 + 결제 기한 타이머 / 승급 알림 UI",,2026-04-14,2026-04-14,확장 기능,0,진행 전,"백+프론트 동시 구현"
36,Phase 6,확장 기능,뱃지 시스템 (BE+FE),"이벤트 완료 시 뱃지 자동 발급 · 뱃지 검색 + UI",,2026-04-15,2026-04-15,확장 기능,0,진행 전,"백+프론트 동시 구현"
37,Phase 6,확장 기능,구독·찜 (BE+FE),"강사 포트폴리오 뷰 / 구독 / 강의 찜 기능 + UI",,2026-04-15,2026-04-15,확장 기능,0,진행 전,"백+프론트 동시 구현"
38,Phase 6,확장 기능,스터디 자동 매칭 (BE+FE),"수강 완료 후 이벤트 기반 스터디 자동 매칭 + UI",,2026-04-16,2026-04-16,확장 기능,0,진행 전,"백+프론트 동시 구현"
,,,,,,,,,,
,,Phase 7: 시연 준비 (4/17 목),,,,,,,,
39,Phase 7,시연 준비,최종 버그 픽스,"발견 오류 수정 · 최종 데모 서버 반영",,2026-04-17,2026-04-17,최종 결과물,0,진행 전,
40,Phase 7,시연 준비,리허설,"발표 시나리오별 플로우 테스트 · 데이터 세팅",,2026-04-17,2026-04-17,데모 환경,0,진행 전,
