Task ID,Sprint,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,MoSCoW,비고
,,,,,,,,,,,,
,,Sprint 0: 설계 & 인프라 & 인증 (3/27 ~ 4/3) - 근무 6일,,,,,,,,,,
-,Sprint 0,🔵 플래닝,스프린트 플래닝,Sprint 0 목표: 설계 완료 + 인프라 구축 + 인증 기능 완성,,2026-03-27,2026-03-27,플래닝 기록,0,진행 전,-,Day 1
-,Sprint 0,설계,기획/요구사항,MVP 요구사항 명세서 확정 (최소 기능 범위),,2026-03-27,2026-03-27,명세서,0,진행 전,-,Day 1
-,Sprint 0,설계,화면설계,MVP 화면 설계서 / UI 레퍼런스 확정,,2026-03-27,2026-03-27,화면설계서,0,진행 전,-,Day 1
,,,,,,,,,,,,휴무 3/28(토) 3/29(일)
-,Sprint 0,설계,ERD,DB ERD 설계 및 검증,,2026-03-30,2026-03-30,ERD 문서,0,진행 전,-,Day 2
-,Sprint 0,설계,API 설계,MVP API 엔드포인트 스펙 정의,,2026-03-30,2026-03-30,API 명세서,0,진행 전,-,Day 2
-,Sprint 0,인프라,백엔드 초기화,Spring Boot 프로젝트 생성,,2026-03-31,2026-03-31,프로젝트 구조,0,진행 전,-,Day 3
-,Sprint 0,인프라,프론트 초기화,Next.js 프로젝트 생성,,2026-03-31,2026-03-31,프로젝트 구조,0,진행 전,-,Day 3
-,Sprint 0,공통,JPA Entity + 이니셜라이저,MVP Entity 매핑 + 초기 데이터 삽입,,2026-04-01,2026-04-01,Entity,0,진행 전,-,Day 4
-,Sprint 0,공통,레이아웃 (FE),공통 레이아웃 / 글로벌 속성 설정,,2026-04-01,2026-04-01,UI 베이스,0,진행 전,-,Day 4
A-001,Sprint 0,인증/사용자 관리,회원등록,이메일/비밀번호 회원가입,BE+FE,2026-04-02,2026-04-02,UI/API,0,진행 전,M,이메일/비밀번호/닉네임 입력 (Day 5)
A-002,Sprint 0,인증/사용자 관리,회원등록,이메일 중복 확인 API,BE,2026-04-02,2026-04-02,API,0,진행 전,M,Day 5
A-003,Sprint 0,인증/사용자 관리,회원등록,이메일 인증 코드 발송/검증,BE,2026-04-02,2026-04-02,API,0,진행 전,M,Day 5
A-004,Sprint 0,인증/사용자 관리,회원등록,약관 동의 UI,FE,2026-04-02,2026-04-02,UI,0,진행 전,M,Day 5
A-005,Sprint 0,인증/사용자 관리,로그인,이메일/비밀번호 로그인,BE+FE,2026-04-02,2026-04-02,UI/API,0,진행 전,M,JWT Access+Refresh 발급 (Day 5)
A-006,Sprint 0,인증/사용자 관리,토큰,토큰 갱신 (Refresh),BE,2026-04-02,2026-04-02,API,0,진행 전,M,Day 5
A-007,Sprint 0,인증/사용자 관리,로그아웃,로그아웃 (토큰 블랙리스트),BE,2026-04-02,2026-04-02,API,0,진행 전,M,Day 5
A-011,Sprint 0,인증/사용자 관리,호스트,호스트 전용 회원가입,BE+FE,2026-04-02,2026-04-02,UI/API,0,진행 전,M,Day 5
A-012,Sprint 0,인증/사용자 관리,호스트,호스트 전용 로그인,BE+FE,2026-04-02,2026-04-02,UI/API,0,진행 전,M,Day 5
-,Sprint 0,🟢 리뷰/회고,스프린트 리뷰 & 회고,스프린트 리뷰 & 회고,,2026-04-03,2026-04-03,리뷰/회고 기록,0,진행 전,-,Day 6
,,,,,,,,,,,,휴무 4/4(토) 4/5(일)
,,,,,,,,,,,,
,,Sprint 1: 이벤트 & 커뮤니티 & 마이페이지 MVP 완료 (4/6 ~ 4/9) - 🎯 MVP,,,,,,,,,,
-,Sprint 1,🔵 플래닝,스프린트 플래닝,Sprint 1 목표: MVP 완성,,2026-04-06,2026-04-06,플래닝 기록,0,진행 전,-,Day 1
E-001,Sprint 1,이벤트 관리,목록,이벤트 목록 조회 (검색/필터/페이징),BE+FE,2026-04-06,2026-04-06,UI/API,0,진행 전,M,카테고리/타입별 필터 (Day 1)
E-002,Sprint 1,이벤트 관리,목록,이벤트 목록 페이지네이션,FE,2026-04-06,2026-04-06,UI,0,진행 전,M,Day 1
MH-001,Sprint 1,메인 홈,목록,메인 홈 이벤트 목록 / 검색,BE+FE,2026-04-06,2026-04-06,UI/API,0,진행 전,M,Day 1
MH-002,Sprint 1,메인 홈,목록,인기 이벤트 섹션,BE+FE,2026-04-06,2026-04-06,UI/API,0,진행 전,M,Day 1
E-006,Sprint 1,이벤트 관리,상세,이벤트 상세 조회,BE+FE,2026-04-06,2026-04-06,UI/API,0,진행 전,M,제목/설명/일정/가격 표시 (Day 1)
E-007,Sprint 1,이벤트 관리,상세,수강 신청 모달,FE,2026-04-06,2026-04-06,UI,0,진행 전,M,인원 수 + 결제 방법 선택 (Day 1)
EC-001,Sprint 1,이벤트 생성/수정,Step 1,Step 1: 기본 정보 입력 (제목/설명),BE+FE,2026-04-07,2026-04-07,UI/API,0,진행 전,M,강의 제목/설명 입력 (Day 2)
EC-002,Sprint 1,이벤트 생성/수정,Step 1,Step 1: 대표 이미지 업로드,BE+FE,2026-04-07,2026-04-07,UI/API,0,진행 전,M,썸네일 이미지 업로드 (Day 2)
EC-005,Sprint 1,이벤트 생성/수정,Step 2,Step 2: 날짜/시간 설정,BE+FE,2026-04-07,2026-04-07,UI/API,0,진행 전,M,Day 2
EC-006,Sprint 1,이벤트 생성/수정,Step 2,Step 2: 온라인/오프라인 선택 + 장소,BE+FE,2026-04-07,2026-04-07,UI/API,0,진행 전,M,Day 2
EC-010,Sprint 1,이벤트 생성/수정,Step 4,Step 4: 무료/유료 + 가격 설정,BE+FE,2026-04-07,2026-04-07,UI/API,0,진행 전,M,가격 설정 (Day 2)
EC-011,Sprint 1,이벤트 생성/수정,Step 4,Step 4: 최대 수강 인원 설정,BE+FE,2026-04-07,2026-04-07,UI/API,0,진행 전,M,정원 제한 (Day 2)
EC-016,Sprint 1,이벤트 생성/수정,게시,강의 게시 (Publish),BE+FE,2026-04-07,2026-04-07,UI/API,0,진행 전,M,Published 상태 전환 (Day 2)
EC-018,Sprint 1,이벤트 생성/수정,수정,이벤트 수정 (프리필 + 수정 완료),BE+FE,2026-04-07,2026-04-07,UI/API,0,진행 전,M,기존 데이터 로드 + 수정 저장 (Day 2)
CM-001,Sprint 1,커뮤니티,목록,커뮤니티 목록 조회,BE+FE,2026-04-08,2026-04-08,UI/API,0,진행 전,M,이벤트 기반 목록 (Day 3)
CM-003,Sprint 1,커뮤니티,상세,커뮤니티 상세 (게시글 CRUD + 댓글),BE+FE,2026-04-08,2026-04-08,UI/API,0,진행 전,M,게시글/댓글 기본 CRUD (Day 3)
CM-004,Sprint 1,커뮤니티,옵션,게시물 타입 필터,FE,2026-04-08,2026-04-08,UI/API,0,진행 전,M,Day 3
P-001,Sprint 1,결제/장바구니,더미결제,수강 신청 (더미 결제),BE,2026-04-08,2026-04-08,API,0,진행 전,M,즉시 PAID 처리 (Day 3)
P-004,Sprint 1,결제/장바구니,실패,결제 실패 처리 + 재시도,FE,2026-04-08,2026-04-08,UI,0,진행 전,M,Day 3
P-005,Sprint 1,결제/장바구니,결제완료,결제 완료 페이지,FE,2026-04-08,2026-04-08,UI,0,진행 전,M,Day 3
P-007,Sprint 1,결제/장바구니,기타,참가 취소,BE+FE,2026-04-08,2026-04-08,UI/API,0,진행 전,M,Day 3
MY-001,Sprint 1,마이페이지,프로필,마이페이지 메인 (프로필 요약),FE,2026-04-08,2026-04-08,UI,0,진행 전,M,Day 3
MY-002,Sprint 1,마이페이지,프로필,프로필 사진 변경/삭제,BE+FE,2026-04-08,2026-04-08,UI/API,0,진행 전,M,Day 3
MY-016,Sprint 1,마이페이지,프로필,프로필 설정: 닉네임/이미지 수정,BE+FE,2026-04-08,2026-04-08,UI/API,0,진행 전,M,Day 3
H-001,Sprint 1,호스트,센터,호스트 센터 랜딩,FE,2026-04-09,2026-04-09,UI,0,진행 전,M,Day 4
H-004,Sprint 1,호스트,이벤트,내가 등록한 이벤트 목록,BE+FE,2026-04-09,2026-04-09,UI/API,0,진행 전,M,Day 4
H-005,Sprint 1,호스트,이벤트,이벤트 상태 변경 (DRAFT→PUBLISHED),BE+FE,2026-04-09,2026-04-09,UI/API,0,진행 전,M,Day 4
AD-001,Sprint 1,어드민,대시보드,어드민 대시보드 요약,BE+FE,2026-04-09,2026-04-09,UI/API,0,진행 전,M,Day 4
AD-002,Sprint 1,어드민,대시보드,긴급 처리 항목,BE+FE,2026-04-09,2026-04-09,UI/API,0,진행 전,M,Day 4
AD-003,Sprint 1,어드민,유저,전체 회원 리스트,BE+FE,2026-04-09,2026-04-09,UI/API,0,진행 전,M,Day 4
AD-004,Sprint 1,어드민,유저,주최자/수강생 분리 조회,FE,2026-04-09,2026-04-09,UI,0,진행 전,M,Day 4
AD-005,Sprint 1,어드민,유저,회원 상세 프로필,BE+FE,2026-04-09,2026-04-09,UI/API,0,진행 전,M,Day 4
AD-006,Sprint 1,어드민,유저,회원 삭제 (비활성화),BE,2026-04-09,2026-04-09,API,0,진행 전,M,Day 4
-,Sprint 1,🟢 리뷰/회고,스프린트 리뷰 & 회고,MVP 전체 데모 + 피드백,,2026-04-09,2026-04-09,리뷰/회고 기록,0,진행 전,-,Day 4 - 🎯 MVP 완성
,,,,,,,,,,,,
,,Sprint 2: 결제 연동 + 이벤트 고도화 및 확장 기능 (4/10, 4/13 ~ 4/17) - 근무 6일,,,,,,,,,,
-,Sprint 2,🔵 플래닝,스프린트 플래닝,Sprint 2 목표: 확장 기능,,2026-04-10,2026-04-10,플래닝 기록,0,진행 전,-,Day 1
P-002,Sprint 2,결제/장바구니,토스결제,토스 페이먼츠 연동 (테스트 모드),BE+FE,2026-04-10,2026-04-10,UI/API,0,진행 전,M,Day 1
P-003,Sprint 2,결제/장바구니,토스결제,결제 검증 (Webhook),BE,2026-04-10,2026-04-10,API,0,진행 전,M,Day 1
A-008,Sprint 2,인증/사용자 관리,소셜,Google OAuth2 소셜 로그인,BE+FE,2026-04-10,2026-04-10,UI/API,0,진행 전,S,Day 1
A-009,Sprint 2,인증/사용자 관리,소셜,Google OAuth2 소셜 회원가입,BE+FE,2026-04-10,2026-04-10,UI/API,0,진행 전,S,Day 1
A-010,Sprint 2,인증/사용자 관리,비밀번호,비밀번호 분실 → 임시 비밀번호 발송,BE+FE,2026-04-10,2026-04-10,UI/API,0,진행 전,S,Day 1
A-013,Sprint 2,인증/사용자 관리,호스트,호스트 이메일 검증,BE,2026-04-10,2026-04-10,API,0,진행 전,S,Day 1
,,,,,,,,,,,,휴무 4/11(토) 4/12(일)
E-003,Sprint 2,이벤트 관리,필터,이벤트 지역별 필터링,BE+FE,2026-04-13,2026-04-13,UI/API,0,진행 전,S,Day 2
E-004,Sprint 2,이벤트 관리,필터,이벤트 캘린더 날짜별 필터링,FE+BE,2026-04-13,2026-04-13,UI/API,0,진행 전,S,Day 2
E-009,Sprint 2,이벤트 관리,특징,세션 링크 표시/연결,FE,2026-04-13,2026-04-13,UI,0,진행 전,S,Day 2
E-010,Sprint 2,이벤트 관리,특징,할인 가격 표시,FE,2026-04-13,2026-04-13,UI,0,진행 전,S,Day 2
E-012,Sprint 2,이벤트 관리,상세,리뷰 목록 표시 + 평균 평점,BE+FE,2026-04-13,2026-04-13,UI/API,0,진행 전,S,Day 2
EC-003,Sprint 2,이벤트 생성/수정,에디터,Step 1: Rich Editor (WYSIWYG),FE,2026-04-13,2026-04-13,UI,0,진행 전,S,Day 2
EC-004,Sprint 2,이벤트 생성/수정,Step 1,Step 1: 카테고리 선택,FE+BE,2026-04-13,2026-04-13,UI/API,0,진행 전,S,Day 2
EC-007,Sprint 2,이벤트 생성/수정,Step 2,Step 2: 지역 정보 입력 (시/도 구/군),FE+BE,2026-04-14,2026-04-14,UI/API,0,진행 전,S,Day 3
EC-008,Sprint 2,이벤트 생성/수정,Step 2,Step 2: 온라인 세션 링크 입력,BE+FE,2026-04-14,2026-04-14,UI/API,0,진행 전,S,Day 3
EC-009,Sprint 2,이벤트 생성/수정,Step 3,Step 3: 세션 리스트 CRUD,BE+FE,2026-04-14,2026-04-14,UI/API,0,진행 전,S,Day 3
EC-012,Sprint 2,이벤트 생성/수정,Step 4,Step 4: 할인 설정,BE+FE,2026-04-14,2026-04-14,UI/API,0,진행 전,S,Day 3
EC-014,Sprint 2,이벤트 생성/수정,기타,미리보기 기능,FE,2026-04-14,2026-04-14,UI,0,진행 전,S,Day 3
EC-015,Sprint 2,이벤트 생성/수정,기타,임시 저장 (Draft),BE+FE,2026-04-14,2026-04-14,UI/API,0,진행 전,S,Day 3
EC-017,Sprint 2,이벤트 생성/수정,기타,취소 확인 모달 + 변경 감지,FE,2026-04-14,2026-04-14,UI,0,진행 전,S,Day 3
CM-002,Sprint 2,커뮤니티,옵션,오픈/닫힌 커뮤니티 필터,FE+BE,2026-04-15,2026-04-15,UI/API,0,진행 전,S,Day 4
CM-005,Sprint 2,커뮤니티,상호작용,게시물 좋아요,BE+FE,2026-04-15,2026-04-15,UI/API,0,진행 전,S,Day 4
CM-006,Sprint 2,커뮤니티,상호작용,댓글 좋아요,BE+FE,2026-04-15,2026-04-15,UI/API,0,진행 전,S,Day 4
